ENTREZID,ENSEMBL,SYMBOL,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Upregulated/Downregulated,Targets with no approved drugs,Oncogene/Tumor Suppressor
56033,ENSG00000131668,BARX1,BARX homeobox 1,51.3589808,21.54905025,3.026855362,7.119286414,1.08E-12,5.41E-10,Upregulated,,
5267,ENSG00000100665,SERPINA4,serpin family A member 4,94.3464392,9.975076371,2.871559234,3.473749124,0.000513241,0.007062491,Upregulated,,
400655,ENSG00000263711,LINC02864,long intergenic non-protein coding RNA 2864,85.56649378,9.834254707,2.734575075,3.596264295,0.00032282,0.005028432,Upregulated,,
3381,ENSG00000029559,IBSP,integrin binding sialoprotein,81.61177082,9.187327882,1.578517577,5.820225266,5.88E-09,9.57E-07,Upregulated,,
6690,ENSG00000164266,SPINK1,serine peptidase inhibitor Kazal type 1,893.1497854,8.808648875,0.926572809,9.506699081,1.97E-21,4.88E-18,Upregulated,,
27283,ENSG00000137251,TINAG,tubulointerstitial nephritis antigen,41.06386097,8.775279079,2.405401991,3.648154908,0.00026413,0.004328464,Upregulated,,
3175,ENSG00000169856,ONECUT1,one cut homeobox 1,57.99904379,8.694425919,1.652649194,5.260902285,1.43E-07,1.19E-05,Upregulated,,
100132916,ENSG00000145642,SHISAL2B,shisa like 2B,26.18416266,8.126074614,3.027497612,2.684089521,0.007272763,0.046519876,Upregulated,,
1469,ENSG00000170373,CST1,cystatin SN,111.9066328,8.042046098,1.50239302,5.352824454,8.66E-08,7.84E-06,Upregulated,,
8091,ENSG00000149948,HMGA2,high mobility group AT-hook 2,695.5597601,7.906798975,1.430891634,5.525784613,3.28E-08,3.61E-06,Upregulated,,
127343,ENSG00000197587,DMBX1,diencephalon/mesencephalon homeobox 1,28.17732536,7.648663093,1.606476251,4.761142961,1.93E-06,9.36E-05,Upregulated,,
112937,ENSG00000166105,GLB1L3,galactosidase beta 1 like 3,193.8138122,7.439611511,1.386092258,5.367327802,7.99E-08,7.40E-06,Upregulated,,
5121,ENSG00000183036,PCP4,Purkinje cell protein 4,77.94533002,7.323257642,1.532553352,4.77846832,1.77E-06,8.71E-05,Upregulated,,
100874194,ENSG00000223392,CLDN10-AS1,CLDN10 antisense RNA 1,28.07262886,7.06397803,1.785507452,3.956285941,7.61E-05,0.001723132,Upregulated,,
389336,ENSG00000178776,C5orf46,chromosome 5 open reading frame 46,18.25231175,7.014462391,1.401085504,5.006448481,5.54E-07,3.50E-05,Upregulated,,
7015,ENSG00000164362,TERT,telomerase reverse transcriptase,11.60702293,6.952741966,1.764375362,3.940625174,8.13E-05,0.001810667,Upregulated,,
1943,ENSG00000099617,EFNA2,ephrin A2,16.44116712,6.872204565,1.579701198,4.350319272,1.36E-05,0.000444809,Upregulated,,
165257,ENSG00000144119,C1QL2,complement C1q like 2,38.53962286,6.770174931,2.422938808,2.794199717,0.005202834,0.036792791,Upregulated,,
146771,ENSG00000240280,TCAM1P,"testicular cell adhesion molecule 1, pseudogene",52.24026527,6.710234754,1.517474301,4.421975877,9.78E-06,0.000335523,Upregulated,,
80078,ENSG00000286042,LCAL1,lung cancer associated lncRNA 1,151.3050196,6.689886048,1.201482541,5.568026017,2.58E-08,2.97E-06,Upregulated,,
153328,ENSG00000145832,SLC25A48,solute carrier family 25 member 48,14.56534716,6.689377283,2.109121458,3.171641565,0.0015158,0.015557346,Upregulated,,
54578,ENSG00000167165,UGT1A6,UDP glucuronosyltransferase family 1 member A6,372.7223166,6.644413101,1.730815812,3.838890918,0.000123591,0.002510955,Upregulated,,
26154,ENSG00000144452,ABCA12,ATP binding cassette subfamily A member 12,214.1084472,6.618444772,1.063624317,6.222539918,4.89E-10,1.21E-07,Upregulated,,
101928978,ENSG00000250546,LINC02994,long intergenic non-protein coding RNA 2994,13.54991426,6.591212735,1.758483335,3.748237248,0.000178082,0.003306351,Upregulated,,
1591,ENSG00000019186,CYP24A1,cytochrome P450 family 24 subfamily A member 1,1189.923528,6.591128483,1.401771036,4.702000764,2.58E-06,0.000117317,Upregulated,,
