"Geneid","LC_C2","LC_C3","LC_C5","LC_C7","LC_C9","LC_S1","LC_S2","LC_S3","LC_S4","LC_S5"
1,59,93,86,133,84,58,46,119,30,24
2,115060,77967,75329,116047,153777,41759,65489,17822,17876,80821
3,14,9,8,6,15,12,7,3,2,5
9,136,203,213,65,145,159,111,313,119,194
10,4,2,4,0,3,7,6,4,1,6
12,521,416,394,6247,2107,3389,1837,22,9397,477
13,61,214,125,19,41,97,250,9,20,66
14,1472,1612,1254,1389,1410,1092,1796,2800,2258,2223
15,26,4,5,14,31,18,16,4,20,6
16,2333,1750,1635,1515,2253,2343,3047,3152,4953,2985
18,974,594,564,580,782,309,350,1719,177,397
19,3644,5158,2284,4273,3736,4147,1897,1496,7406,2541
20,1483,1281,1163,698,1546,799,1186,604,1548,841
21,15086,9967,10373,560,20610,9413,1803,776,1560,4197
22,526,451,397,431,577,384,519,555,700,602
23,1,0,0,37,2,0,0,2,5,2
24,24,27,32,16,33,43,265,31,139,72
25,2354,1654,1706,5860,3994,1854,2205,1696,2211,1346
26,12,8,23,52,18,25,178,1011,1007,10
27,1735,1042,1089,6191,2466,1224,1372,3056,1362,1311
28,238,699,293,64,234,92,657,168,27,745
29,20,27,16,3,18,72,9,14,73,22
30,1457,1375,1257,1006,1567,919,1184,785,2729,1103
31,86,16,61,9,56,8,3,49,62,50
32,1618,1710,1163,2288,1493,375,1418,563,186,771
33,1079,1327,579,68,1038,227,156,7,74,47
34,1311,1232,989,702,1070,790,770,763,1559,1552
35,438,502,489,394,444,182,519,405,326,288
36,1618,1754,1308,472,1264,1310,717,1690,321,2807
37,4023,3718,5198,3903,4965,4335,6204,4771,4726,7037
38,1459,1564,1138,1033,1771,766,685,708,857,1799
39,538,348,234,207,407,168,253,309,704,321
40,3,4,3,1,4,2,7,3,6,4
41,34,18,22,30,49,85,165,190,74,46
43,55,29,104,51,82,77,212,162,16,389
47,3092,2230,2068,2115,3062,2375,2705,6367,5461,3030
48,1133,1074,1302,972,1402,1073,1202,1753,983,965
49,19,3,6,32,19,4,20,4,7,2
50,1511,1309,1039,1125,1533,785,1176,1393,1154,1179
51,2498,1835,1634,1266,2118,1391,2084,2800,1925,2422
52,1540,1464,1234,921,1827,1157,1527,3007,2053,1568
53,696,577,632,1161,785,698,902,968,1373,995
54,8009,3500,4572,10424,7347,1343,2872,816,1100,3471
55,171,187,153,29,402,127,80,46,140,103
56,0,0,2,2,0,0,1,3,7,1
58,3,2,3,3,4,4,5,0,1,2
59,2266,803,1784,6331,2387,7025,7089,3378,4749,2173
60,74425,53145,63043,78532,90544,54429,58986,88177,137956,61292
70,2,1,4,10,2,10,55,7,2,11
71,35237,32868,33271,47462,44366,27765,36006,50824,67037,23345
72,704,220,314,3122,289,689,1502,515,385,302
81,10677,7796,6939,7823,9464,4261,7895,13082,17598,5669
86,824,744,658,403,787,568,778,2053,2096,685
87,4228,2062,3449,4489,4197,4673,5110,5873,6613,3131
88,256,317,144,131,166,39,83,6,16,119
89,2,1,1,9,8,6,3,4,2,1
90,991,806,800,1007,948,716,1177,1405,1550,1141
91,1196,1097,955,1090,1523,536,1953,2093,922,826
92,591,570,400,255,375,700,677,866,390,1071
93,438,762,373,122,371,316,389,931,274,456
94,4306,2941,2995,2096,5063,735,1110,471,422,283
95,17,13,10,3,17,12,13,13,17,21
97,124,161,131,60,97,101,127,215,144,89
98,172,180,119,151,210,117,133,46,131,178
100,134,88,81,385,293,196,183,381,135,65
101,524,374,463,653,1421,607,1546,217,4844,906
102,4893,3953,2977,1959,3704,2665,2510,3880,4126,3347
103,9777,7095,6703,4940,10418,7329,10402,15154,8118,9255
104,3063,3310,2583,2759,2536,866,1347,649,691,1432
