"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007088","regulation of mitotic nuclear division","44/1869","120/18842",0.366666666666667,3.69648653468878,9.83309145293334,3.01756645314154e-15,1.6394438539918e-11,1.26214855492994e-11,"CCNB1/EGF/KNTC1/SKA3/CDCA8/CENPF/KNL1/CDC20/ZWINT/CAV2/DUSP1/SPC24/DLGAP5/BORA/TRIP13/PKMYT1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/PDGFB/MKI67/NEK2/FBXO43/RCC1/SPDL1/AURKA/CDCA2/BUB1/TTK/EDN3/CHEK1/INCENP/GEN1/EDN1/NDC80/BIRC5/AURKB/KIF20B/PLK1/TOM1L2/BUB1B/CDC25C",44
"GO:0140014","mitotic nuclear division","73/1869","281/18842",0.259786476868327,2.61899240083094,9.07349501014264,6.93344867341182e-15,1.88347133213232e-11,1.45001648840526e-11,"CCNB1/EGF/KNTC1/SKA3/CDCA8/CENPF/CENPI/SPAG5/NCAPG2/KNL1/CDC20/CENPA/ZWINT/KIF18A/CEP85/CAV2/DUSP1/SPC24/DLGAP5/CDT1/BORA/TRIP13/CENPK/PKMYT1/BCCIP/UHRF1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/PDGFB/MKI67/KIF14/NEK2/FBXO43/TPX2/RCC1/SPDL1/AURKA/CDCA2/CDK1/KIF4A/NCAPG/BUB1/TTK/KIF2C/EDN3/LSM14A/CHEK1/KIF23/INCENP/GEN1/EDN1/KIF18B/NDC80/ANLN/KIF15/BIRC5/AURKB/NCAPH/PRC1/RGCC/CENPE/TUBG1/CDC14A/KIF20B/PLK1/TOM1L2/KAT2B/BUB1B/CDC25C/KIF11",73
"GO:0000280","nuclear division","95/1869","422/18842",0.225118483412322,2.26949302539057,8.75223664315189,1.16718785504946e-14,2.11377720549457e-11,1.62732065441758e-11,"CCNB1/SYCP2/EGF/KNTC1/MND1/C14orf39/FANCD2/SKA3/CDCA8/TDRKH/DCAF13/TOP2A/RAD54B/CENPF/P3H4/CENPI/SPAG5/TUBB8/NCAPG2/RAD54L/KNL1/CDC20/HORMAD1/CENPA/ZWINT/KIF18A/CEP85/BRCA2/CAV2/DUSP1/SPC24/DLGAP5/SGO1/CDT1/BORA/TRIP13/CENPK/PTTG1/PKMYT1/BCCIP/UHRF1/EME1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/FIGNL1/TESMIN/PDGFB/MKI67/SGO2/KIF14/NEK2/FBXO43/TPX2/RCC1/SPDL1/AURKA/CDCA2/RAD51/CDK1/KIF4A/NCAPG/BUB1/TTK/KIF2C/EDN3/LSM14A/CHEK1/BRIP1/KIF23/INCENP/GEN1/EDN1/KIF18B/NDC80/ANLN/KIF15/BIRC5/AURKB/NCAPH/PRC1/RGCC/CENPE/TUBG1/CDC14A/KIF20B/PLK1/TOM1L2/KAT2B/BUB1B/CDC25C/RAD51AP1/KIF11",95
"GO:0051783","regulation of nuclear division","46/1869","135/18842",0.340740740740741,3.43511879991281,9.42241622003731,1.72393705159461e-14,2.34153750032838e-11,1.80266507154719e-11,"CCNB1/EGF/KNTC1/SKA3/CDCA8/CENPF/KNL1/CDC20/HORMAD1/ZWINT/CAV2/DUSP1/SPC24/DLGAP5/BORA/TRIP13/PKMYT1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/PDGFB/MKI67/NEK2/FBXO43/RCC1/SPDL1/AURKA/CDCA2/BUB1/TTK/EDN3/CHEK1/INCENP/GEN1/EDN1/NDC80/BIRC5/AURKB/KIF20B/PLK1/TOM1L2/BUB1B/CDC25C/RAD51AP1",46
"GO:0045786","negative regulation of cell cycle","85/1869","382/18842",0.222513089005236,2.24322719263598,8.14598589378876,5.87577269944575e-13,5.93631179877441e-10,4.57015184764854e-10,"CCNB1/CDKN2A/KNTC1/GMNN/CDKN1A/FANCD2/SKA3/CDCA8/CDC6/CENPF/LATS2/WDR76/TICRR/KNL1/ALOX15B/RPS6KA2/CDC20/HORMAD1/ZWINT/RFC4/BLM/IL10/GPER1/ORC1/BRCA2/DUSP1/RHOB/SPC24/PLK3/CDT1/TRIP13/TIMELESS/DSP/PKMYT1/FHL1/EME1/ESPL1/KANK2/NUF2/DTL/MAD2L1/KAT2A/KLF4/CDKN2D/DAB2IP/ZFP36L2/FOXO4/NEK2/E2F8/FBXO43/BCL6/E2F1/SPDL1/NR4A1/MIR30C2/MIR29C/FAM107A/CCL2/RAD51/SLFN11/CDK1/BUB1/GAS1/TTK/CHEK1/BRIP1/INCENP/GATA3/GEN1/BMP2/CCNF/NDC80/E2F7/BIRC5/AURKB/CDKN2B/RGCC/CDC45/NUPR1/PLK1/TOM1L2/KAT2B/CLSPN/TENT5B/BUB1B",85
"GO:0048285","organelle fission","98/1869","470/18842",0.208510638297872,2.10206390947486,8.02887711180136,6.55583854088836e-13,5.93631179877441e-10,4.57015184764854e-10,"CCNB1/SYCP2/EGF/KNTC1/MND1/C14orf39/FANCD2/SKA3/CDCA8/TDRKH/DCAF13/TOP2A/RAD54B/CENPF/P3H4/CENPI/SPAG5/TUBB8/NCAPG2/RAD54L/KNL1/CDC20/HORMAD1/CENPA/ZWINT/KIF18A/CEP85/BRCA2/CAV2/DUSP1/SPC24/DLGAP5/SGO1/CDT1/BORA/TRIP13/CENPK/PTTG1/PKMYT1/BCCIP/UHRF1/EME1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/FIGNL1/TESMIN/PDGFB/MKI67/SGO2/KIF14/NEK2/FBXO43/TPX2/RCC1/SPDL1/AURKA/DCN/CDCA2/RAD51/MTFR1/CDK1/KIF4A/PRKN/NCAPG/BUB1/TTK/KIF2C/EDN3/LSM14A/CHEK1/BRIP1/KIF23/INCENP/GEN1/EDN1/KIF18B/NDC80/ANLN/KIF15/BIRC5/AURKB/NCAPH/PRC1/RGCC/CENPE/TUBG1/CDC14A/KIF20B/PLK1/TOM1L2/KAT2B/BUB1B/CDC25C/RAD51AP1/KIF11",98
"GO:0010948","negative regulation of cell cycle process","72/1869","309/18842",0.233009708737864,2.34904704763983,7.93433973956032,3.49818998303492e-12,2.71509516826124e-09,2.09025361544058e-09,"CCNB1/KNTC1/GMNN/CDKN1A/FANCD2/SKA3/CDCA8/CDC6/CENPF/WDR76/TICRR/KNL1/CDC20/HORMAD1/ZWINT/RFC4/BLM/GPER1/ORC1/BRCA2/DUSP1/SPC24/PLK3/CDT1/TRIP13/TIMELESS/PKMYT1/FHL1/EME1/ESPL1/KANK2/NUF2/DTL/MAD2L1/KAT2A/KLF4/CDKN2D/DAB2IP/ZFP36L2/FOXO4/NEK2/E2F8/FBXO43/BCL6/E2F1/SPDL1/MIR30C2/MIR29C/FAM107A/CCL2/RAD51/SLFN11/CDK1/BUB1/TTK/CHEK1/BRIP1/INCENP/GEN1/CCNF/NDC80/E2F7/BIRC5/AURKB/CDKN2B/RGCC/CDC45/PLK1/TOM1L2/KAT2B/CLSPN/BUB1B",72
"GO:0007346","regulation of mitotic cell cycle","98/1869","492/18842",0.199186991869919,2.00806918181541,7.51851680655804,1.09590909513369e-11,7.44259264232665e-09,5.72978301487583e-09,"FOXM1/CCNB1/EGF/CDKN2A/KNTC1/CCNE2/GMNN/CDKN1A/FANCD2/SKA3/CDCA8/ERCC2/CDC6/CENPF/TICRR/KNL1/CDC20/ZWINT/BLM/ID2/IL10/ADAMTS1/ORC1/CAV2/DUSP1/SPC24/DLGAP5/MTBP/STIL/PLK3/CCNE1/CDC25A/BORA/TRIP13/MEIS2/TIMELESS/PKMYT1/FHL1/FGF10/EME1/NUSAP1/ESPL1/KANK2/NUF2/DTL/UBE2C/KLF11/RDX/MAD2L1/KLF4/CDKN2D/PDGFB/MKI67/ZFP36L2/KIF14/NEK2/TERT/FBXO43/BCL6/RCC1/E2F1/SPDL1/AURKA/MIR30C2/MIR29C/FAM107A/USP2/CDCA2/CCL2/RRM2/SLFN11/CDK1/BUB1/GAS1/TTK/EDN3/CHEK1/INCENP/GEN1/NEK7/EDN1/NDC80/E2F7/ANLN/BIRC5/AURKB/CDKN2B/RGCC/CENPE/CDC14A/KIF20B/PLK1/TOM1L2/CLSPN/TAL1/CKS1B/BUB1B/CDC25C",98
"GO:1902969","mitotic DNA replication","13/1869","16/18842",0.8125,8.19107811663991,9.5488768096978,3.63985118493211e-11,2.18502183585731e-08,1.68216931973778e-08,"TK1/GMNN/MCM2/BRCA2/MCM6/LIG1/GINS1/CDT1/BCL6/RAD51/PCNA/CDC45/MCM4",13
"GO:0000070","mitotic sister chromatid segregation","53/1869","205/18842",0.258536585365854,2.60639183598899,7.67392828154318,4.21224193243577e-11,2.18502183585731e-08,1.68216931973778e-08,"CCNB1/KNTC1/SKA3/CDCA8/CENPF/CENPI/SPAG5/NCAPG2/KNL1/CDC20/CENPA/ZWINT/KIF18A/DUSP1/SPC24/DLGAP5/CDT1/TRIP13/CENPK/BCCIP/UHRF1/NUSAP1/ESPL1/NUF2/UBE2C/MAD2L1/KIF14/TPX2/RCC1/SPDL1/CDK1/KIF4A/NCAPG/BUB1/TTK/KIF2C/LSM14A/KIF23/INCENP/GEN1/KIF18B/NDC80/KIF15/BIRC5/AURKB/NCAPH/PRC1/CENPE/TUBG1/PLK1/KAT2B/BUB1B/KIF11",53
